Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,9,15,1,10,11,14,7,2
La Montagne,15,7,14,9,10,3,4,6
La Provence,10,4,9,15,11,16,3,8
Aisne Nouvelle,7,2,4,3,10,15,9,14
La République du Centre,14,10,15,9,4,1,2,3
La Voix du Nord,15,10,2,7,3,4,14,9
Le Courrier Picard,15,14,7,4,5,3,9,10
Le Dauphiné Libéré,14,7,10,15,3,2,5,8
Le Matin de Lausanne,7,14,4,3,15,9,2,10
Le Parisien,7,9,14,4,15,10,3,1
Le Progrès de Lyon,10,7,9,3,2,4,5,11
Bilto,15,10,14,9,7,2,11,4
Le Quotidien de la Réunion,10,15,3,4,2,14,9,7
Le Télégramme de Brest,15,3,14,1,7,9,11,10
Les 7 de week-end,2,15,14,10,3,8,16,9
Midi-Libre,10,3,2,7,4,13,15,14
Nice Matin,15,2,14,4,10,5,1,3
Nve. Rep. Centre-Ouest,14,7,2,10,15,1,3,16
Ouest-France,2,14,4,10,15,1,7,9
Paris Normandie,10,15,2,7,1,3,4,14
Paris Turf,4,10,7,15,8,3,2,14
Centre Presse Poitiers,7,15,9,10,4,14,2,1
République des Pyrénées,7,3,14,15,11,10,9,16
Week-End,15,7,10,3,9,1,4,13
Charente Libre,15,10,2,7,3,4,14,9
Europe 1,10,7,14,4,15,1,6,11
L'Echo du Centre,7,10,4,14,1,11,15,8
L'Eveil,7,3,4,2,14,10,15,13
L'Yonne Républicaine,15,10,3,14,7,1,5,8
L'indépendant,15,2,7,10,4,9,6,1
