Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,4,13,9,7,10,5,8,6
La Montagne,13,4,10,1,5,8,2,7
La Provence,4,10,9,5,8,13,1,16
Aisne Nouvelle,5,4,10,9,13,1,3,2
La République du Centre,13,4,9,10,2,7,16,5
La Voix du Nord,4,10,13,9,1,7,5,2
Le Courrier Picard,9,10,8,1,4,13,2,16
Le Dauphiné Libéré,4,13,5,1,10,9,7,2
Le Matin de Lausanne,4,10,2,8,5,7,13,9
Le Parisien,4,10,13,9,1,7,5,2
Le Progrès de Lyon,4,13,9,8,5,6,2,16
Bilto,13,4,10,8,9,6,2,5
Le Quotidien de la Réunion,4,13,9,10,8,1,5,6
Le Télégramme de Brest,4,13,8,10,2,9,6,1
Les 7 de week-end,4,13,9,8,7,10,1,2
Midi-Libre,9,1,7,5,2,4,10,13
Nice Matin,4,8,2,3,5,1,7,9
Nve. Rep. Centre-Ouest,4,13,10,5,9,1,7,16
Ouest-France,9,13,5,4,10,8,1,2
Paris Normandie,9,4,14,8,2,3,5,1
Paris Turf,9,13,7,4,2,1,5,8
Centre Presse Poitiers,13,4,5,8,7,10,3,6
République des Pyrénées,9,4,14,8,2,3,5,1
Week-End,4,9,8,10,13,16,7,2
Charente Libre,9,10,8,1,4,7,13,2
Europe 1,4,10,13,9,1,7,5,2
L'Echo du Centre,4,1,7,9,10,8,2,3
L'Eveil,9,4,13,8,2,10,1,5
L'Yonne Républicaine,13,4,9,2,10,1,6,5
L'indépendant,4,13,9,8,5,1,2,6
