Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,9,12,8,11,14,13,10,4
La Montagne,9,11,8,12,10,4,13,14
La Provence,9,11,8,13,2,7,12,10
Aisne Nouvelle,11,9,8,14,12,10,2,13
La République du Centre,9,11,12,13,8,2,14,10
La Voix du Nord,9,12,8,13,10,11,14,7
Le Courrier Picard,9,14,11,12,2,13,8,3
Le Dauphiné Libéré,12,14,8,9,13,2,10,11
Le Matin de Lausanne,10,9,8,11,14,12,7,2
Le Parisien,9,8,14,11,10,2,13,12
Le Progrès de Lyon,9,12,8,13,10,11,14,7
Bilto,11,8,9,10,7,13,12,14
Le Quotidien de la Réunion,9,8,11,14,12,13,2,10
Le Télégramme de Brest,9,11,14,12,8,10,2,13
Les 7 de week-end,9,12,8,10,2,14,11,7
Midi-Libre,11,8,9,12,10,13,14,2
Nice Matin,8,12,9,11,4,14,2,13
Nve. Rep. Centre-Ouest,9,12,11,7,14,8,10,4
Ouest-France,12,11,9,13,8,10,14,5
Paris Normandie,8,12,11,9,2,14,7,13
Paris Turf,8,9,10,11,12,13,14,5
Centre Presse Poitiers,12,9,11,4,7,8,2,3
République des Pyrénées,8,12,11,9,10,2,13,14
Week-End,9,11,14,12,13,2,8,10
Charente Libre,9,12,8,13,10,11,14,7
Europe 1,9,11,8,12,7,14,10,13
L'Echo du Centre,9,10,11,8,7,12,14,2
L'Eveil,9,8,12,11,13,14,10,4
L'Yonne Républicaine,9,12,11,8,14,2,10,7
L'indépendant,9,11,8,14,2,12,13,10
