Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,9,5,4,13,8,7,2,12
La Montagne,8,4,5,2,9,13,12,6
La Provence,9,5,2,4,8,13,3,12
Aisne Nouvelle,13,8,9,6,12,4,2,5
La République du Centre,5,13,4,2,9,8,7,6
La Voix du Nord,8,9,4,13,12,2,5,6
Le Courrier Picard,9,8,13,4,5,12,2,6
Le Dauphiné Libéré,2,4,8,5,9,13,12,6
Le Matin de Lausanne,9,8,4,13,5,12,2,7
Le Parisien,12,8,9,6,13,3,4,2
Le Progrès de Lyon,8,9,4,13,12,2,5,6
Bilto,8,9,4,2,5,13,12,7
Le Quotidien de la Réunion,9,13,4,8,5,3,2,6
Le Télégramme de Brest,5,13,4,9,8,12,2,3
Les 7 de week-end,13,5,4,8,9,2,12,7
Midi-Libre,8,5,13,4,12,9,2,3
Nice Matin,9,5,13,8,4,2,6,12
Nve. Rep. Centre-Ouest,8,9,13,4,5,12,2,6
Ouest-France,5,13,9,8,12,4,2,7
Paris Normandie,5,9,4,13,8,7,2,12
Paris Turf,13,9,4,8,5,2,3,7
Centre Presse Poitiers,9,4,8,13,5,7,2,10
République des Pyrénées,5,4,9,2,13,8,3,12
Week-End,5,4,8,9,2,13,3,6
Charente Libre,8,9,4,13,12,2,5,6
Europe 1,9,8,5,2,4,12,13,3
L'Echo du Centre,5,4,8,13,9,3,2,7
L'Eveil,4,9,5,8,13,2,3,12
L'Yonne Républicaine,2,8,4,12,13,9,5,7
L'indépendant,5,8,13,9,4,12,2,3
