Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,4,13,8,2,9,12,1,14
La Montagne,13,7,2,4,12,14,9,8
La Provence,13,14,4,12,9,8,2,7
Aisne Nouvelle,12,4,2,9,13,14,7,8
La République du Centre,13,14,4,2,8,7,9,12
La Voix du Nord,4,13,12,2,9,14,7,8
Le Courrier Picard,4,8,12,7,13,9,14,2
Le Dauphiné Libéré,4,2,13,8,7,14,12,10
Le Matin de Lausanne,4,2,14,7,8,13,12,10
Le Parisien,4,13,12,2,9,14,7,8
Le Progrès de Lyon,13,4,14,8,7,9,2,12
Bilto,4,7,2,9,14,13,1,8
Le Quotidien de la Réunion,13,14,4,8,2,9,12,7
Le Télégramme de Brest,9,4,10,2,13,8,7,1
Les 7 de week-end,4,7,9,8,14,13,10,12
Midi-Libre,4,14,13,2,9,8,12,7
Nice Matin,13,4,12,7,8,14,9,10
Nve. Rep. Centre-Ouest,4,13,8,14,12,2,9,7
Ouest-France,4,14,13,9,7,6,10,8
Paris Normandie,14,12,2,13,7,4,8,9
Paris Turf,7,8,4,1,2,9,10,13
Centre Presse Poitiers,14,8,4,13,6,15,10,1
République des Pyrénées,7,13,2,12,4,9,14,8
Week-End,13,14,4,7,8,12,9,2
Charente Libre,4,13,12,2,9,14,7,8
Europe 1,8,13,9,14,2,4,12,1
L'Echo du Centre,4,13,9,8,7,14,2,12
L'Eveil,4,2,12,13,8,9,14,7
L'Yonne Républicaine,8,9,12,4,13,14,10,6
L'indépendant,4,13,7,1,12,10,14,9
