Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,15,4,14,7,6,1,13,5
La Montagne,7,15,4,3,13,5,14,11
La Provence,4,15,7,13,6,1,14,3
Aisne Nouvelle,1,15,14,3,4,7,10,6
La République du Centre,15,1,7,13,14,4,10,6
La Voix du Nord,15,14,6,1,7,4,13,3
Le Courrier Picard,15,7,14,13,4,3,1,6
Le Dauphiné Libéré,7,13,14,15,4,1,5,3
Le Matin de Lausanne,4,7,15,14,13,6,3,1
Le Parisien,15,14,6,1,7,4,13,3
Le Progrès de Lyon,7,15,14,4,3,13,1,6
Bilto,7,14,15,13,4,1,5,6
Le Quotidien de la Réunion,4,15,14,7,3,6,13,11
Le Télégramme de Brest,7,15,4,6,14,13,1,10
Les 7 de week-end,14,15,1,7,4,13,3,9
Midi-Libre,4,15,7,1,14,3,10,5
Nice Matin,13,7,3,15,14,5,4,1
Nve. Rep. Centre-Ouest,15,14,6,4,7,1,13,3
Ouest-France,15,7,1,4,14,13,3,11
Paris Normandie,4,15,13,14,7,5,1,10
Paris Turf,4,5,7,11,3,13,14,15
Centre Presse Poitiers,4,7,15,14,13,6,10,5
République des Pyrénées,15,7,4,5,14,1,13,10
Week-End,14,4,13,7,15,5,6,1
Charente Libre,15,14,6,1,7,4,13,3
Europe 1,4,15,1,10,7,13,6,14
L'Echo du Centre,4,7,6,1,15,13,14,11
L'Eveil,14,15,7,6,13,4,3,5
L'Yonne Républicaine,15,7,1,4,14,5,13,11
L'indépendant,15,4,7,14,6,13,3,10
