Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,5,3,9,14,7,6,12,2
La Montagne,6,5,12,14,2,3,9,7
La Provence,5,2,6,9,12,7,14,13
Aisne Nouvelle,7,5,6,9,14,12,3,2
La République du Centre,6,5,14,13,7,12,2,9
La Voix du Nord,5,6,14,9,12,7,2,3
Le Courrier Picard,5,9,14,2,3,7,6,13
Le Dauphiné Libéré,6,9,5,2,14,3,13,12
Le Matin de Lausanne,14,5,6,7,9,3,2,12
Le Parisien,6,5,14,9,7,3,2,15
Le Progrès de Lyon,5,6,14,9,12,7,2,3
Bilto,5,6,2,12,7,9,14,3
Le Quotidien de la Réunion,14,7,12,9,5,2,6,3
Le Télégramme de Brest,5,9,6,14,12,13,2,7
Les 7 de week-end,9,5,3,6,14,2,7,12
Midi-Libre,5,14,7,3,9,2,6,12
Nice Matin,6,5,2,14,12,9,13,3
Nve. Rep. Centre-Ouest,5,14,6,12,2,7,9,3
Ouest-France,5,9,14,7,6,13,12,2
Paris Normandie,5,9,14,12,6,2,7,3
Paris Turf,5,6,9,14,2,7,12,13
Centre Presse Poitiers,14,12,5,6,15,2,3,13
République des Pyrénées,2,7,9,5,3,12,6,14
Week-End,6,5,7,2,14,12,9,13
Charente Libre,5,6,14,9,12,7,2,3
Europe 1,5,7,9,2,3,13,6,14
L'Echo du Centre,5,3,14,6,13,2,9,7
L'Eveil,5,2,6,9,7,14,15,3
L'Yonne Républicaine,7,5,9,6,3,14,2,12
L'indépendant,7,9,6,5,14,13,12,2
