Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,13,14,10,6,7,12,9,4
La Montagne,14,6,10,13,9,12,11,7
La Provence,6,14,13,9,12,10,7,11
Aisne Nouvelle,4,6,14,12,13,10,2,9
La République du Centre,6,14,13,10,7,12,9,2
La Voix du Nord,6,14,13,7,10,4,9,12
Le Courrier Picard,6,12,10,14,13,4,7,9
Le Dauphiné Libéré,14,6,10,12,9,13,11,4
Le Matin de Lausanne,10,14,7,13,6,9,12,11
Le Parisien,8,14,12,6,10,13,7,11
Le Progrès de Lyon,6,14,13,7,10,4,9,12
Bilto,14,6,10,12,9,13,4,7
Le Quotidien de la Réunion,6,13,14,9,12,10,7,4
Le Télégramme de Brest,6,13,14,9,12,4,10,7
Les 7 de week-end,14,6,7,12,9,13,10,4
Midi-Libre,6,14,7,13,12,10,9,4
Nice Matin,6,10,12,7,13,14,9,4
Nve. Rep. Centre-Ouest,6,14,13,10,4,7,9,12
Ouest-France,6,10,13,12,14,4,9,7
Paris Normandie,14,6,7,10,12,13,9,4
Paris Turf,13,14,12,6,10,7,11,8
Centre Presse Poitiers,13,6,14,10,7,9,2,11
République des Pyrénées,6,10,14,13,4,12,7,9
Week-End,12,6,7,14,13,10,9,4
Charente Libre,6,14,13,7,10,4,9,12
Europe 1,14,10,6,12,13,9,7,4
L'Echo du Centre,10,14,13,6,4,9,12,7
L'Eveil,6,13,14,12,4,9,10,7
L'Yonne Républicaine,14,6,13,10,4,7,9,12
L'indépendant,13,7,12,10,14,6,9,11
