Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,7,8,4,6,13,11,15,9
La Montagne,4,7,5,11,15,6,8,13
La Provence,4,8,9,11,7,13,6,5
Aisne Nouvelle,8,7,4,5,6,11,9,13
La République du Centre,8,4,11,5,7,13,6,9
La Voix du Nord,8,4,7,13,6,5,11,15
Le Courrier Picard,4,8,7,6,9,5,11,15
Le Dauphiné Libéré,7,8,6,9,4,15,11,5
Le Matin de Lausanne,8,11,7,4,13,9,6,14
Le Parisien,7,4,6,8,5,15,13,9
Le Progrès de Lyon,8,4,7,13,6,5,11,15
Bilto,7,11,8,13,4,6,5,9
Le Quotidien de la Réunion,4,7,11,13,8,9,5,14
Le Télégramme de Brest,4,11,8,15,6,7,13,9
Les 7 de week-end,7,5,4,8,13,11,15,6
Midi-Libre,8,11,7,4,13,15,9,5
Nice Matin,4,13,11,6,7,9,15,8
Nve. Rep. Centre-Ouest,8,4,7,11,5,15,13,6
Ouest-France,4,9,11,5,7,8,13,6
Paris Normandie,8,7,9,4,11,15,13,5
Paris Turf,7,8,9,15,4,1,10,6
Centre Presse Poitiers,4,8,7,11,13,15,9,14
République des Pyrénées,8,4,7,9,5,6,13,15
Week-End,4,7,8,13,9,5,11,6
Charente Libre,8,4,7,13,6,5,11,15
Europe 1,7,4,8,6,9,13,5,11
L'Echo du Centre,7,4,8,5,9,15,11,13
L'Eveil,11,7,5,13,15,8,6,4
L'Yonne Républicaine,4,7,8,15,9,13,11,6
L'indépendant,8,4,13,7,11,9,6,14
