Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,13,11,1,10,9,6,3,2
La Montagne,6,9,1,7,11,13,2,10
La Provence,9,11,1,13,2,6,7,10
Aisne Nouvelle,1,13,6,10,7,2,3,11
La République du Centre,6,10,11,2,13,7,3,12
La Voix du Nord,6,1,7,13,10,2,9,11
Le Courrier Picard,13,10,9,6,1,2,7,11
Le Dauphiné Libéré,11,10,2,9,7,12,6,13
Le Matin de Lausanne,11,1,13,7,9,2,6,12
Le Parisien,6,11,1,7,2,13,10,9
Le Progrès de Lyon,6,1,7,13,10,2,9,11
Bilto,11,1,6,10,7,13,2,9
Le Quotidien de la Réunion,7,9,2,10,11,13,6,1
Le Télégramme de Brest,13,10,9,2,1,11,7,6
Les 7 de week-end,11,7,2,1,10,13,6,3
Midi-Libre,11,1,13,9,6,2,10,12
Nice Matin,11,9,1,10,6,13,7,3
Nve. Rep. Centre-Ouest,1,7,6,2,9,10,11,13
Ouest-France,13,6,9,10,1,2,11,12
Paris Normandie,6,1,13,2,11,10,7,9
Paris Turf,13,12,11,10,9,1,2,3
Centre Presse Poitiers,7,1,6,2,9,11,3,12
République des Pyrénées,11,6,13,10,7,1,9,2
Week-End,11,13,9,7,10,1,6,2
Charente Libre,6,1,7,13,10,2,9,11
Europe 1,11,1,10,13,6,2,9,7
L'Echo du Centre,6,9,13,2,1,11,10,7
L'Eveil,13,11,1,10,9,2,7,6
L'Yonne Républicaine,11,1,9,7,6,13,10,3
L'indépendant,11,13,6,9,7,10,3,1
