Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,3,2,6,1,7,5,4,8
La Montagne,1,5,2,4,7,6,8,3
La Provence,6,4,7,1,3,2,8,5
Aisne Nouvelle,5,1,6,4,2,3,11,7
La République du Centre,6,1,7,2,3,4,5,8
La Voix du Nord,1,6,5,2,4,3,7,8
Le Courrier Picard,2,3,1,5,6,7,4,8
Le Dauphiné Libéré,2,1,4,7,6,8,3,11
Le Matin de Lausanne,2,3,7,1,6,8,4,11
Le Parisien,1,6,5,2,4,3,7,8
Le Progrès de Lyon,7,3,1,6,2,8,4,5
Bilto,7,1,2,5,3,4,6,11
Le Quotidien de la Réunion,6,7,2,1,4,8,3,5
Le Télégramme de Brest,2,1,5,3,4,7,6,11
Les 7 de week-end,2,5,6,4,1,3,8,7
Midi-Libre,6,2,3,1,7,4,5,8
Nice Matin,6,3,2,1,4,5,7,8
Nve. Rep. Centre-Ouest,1,6,2,3,4,5,7,11
Ouest-France,1,3,2,6,5,7,4,8
Paris Normandie,2,6,1,3,4,5,8,7
Paris Turf,4,5,2,1,3,6,7,10
Centre Presse Poitiers,2,1,6,3,8,7,11,9
République des Pyrénées,2,3,1,5,6,7,4,11
Week-End,3,7,6,1,2,4,5,11
Charente Libre,2,7,6,3,1,5,8,4
Europe 1,1,6,2,3,7,4,11,8
L'Echo du Centre,1,6,2,3,7,8,4,5
L'Eveil,5,3,4,7,6,1,2,8
L'Yonne Républicaine,7,4,6,1,2,3,8,11
L'indépendant,1,5,7,6,2,4,3,10
