Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,2,4,14,6,3,9,1,16
La Montagne,4,2,6,12,1,14,3,16
La Provence,3,13,16,10,4,1,6,2
Aisne Nouvelle,1,3,6,4,2,16,14,9
La République du Centre,4,6,16,2,11,12,1,3
La Voix du Nord,3,6,2,16,1,4,12,9
Le Courrier Picard,6,1,2,3,16,4,11,9
Le Dauphiné Libéré,2,1,5,4,16,3,11,6
Le Matin de Lausanne,16,6,2,12,14,4,1,5
Le Parisien,3,6,2,16,1,4,12,9
Le Progrès de Lyon,1,16,6,2,3,4,12,9
Bilto,3,4,16,11,6,2,1,5
Le Quotidien de la Réunion,9,6,10,1,5,4,7,2
Le Télégramme de Brest,4,1,2,6,9,12,10,16
Les 7 de week-end,6,3,4,2,1,11,16,15
Midi-Libre,16,1,4,11,2,6,14,9
Nice Matin,1,4,2,11,6,16,12,15
Nve. Rep. Centre-Ouest,3,2,6,16,1,4,12,9
Ouest-France,3,11,6,2,1,5,4,16
Paris Normandie,1,3,11,12,2,4,15,16
Paris Turf,1,3,4,6,10,11,8,7
Centre Presse Poitiers,2,3,6,16,12,9,14,5
République des Pyrénées,4,1,6,2,3,13,16,10
Week-End,1,2,12,11,16,3,6,4
Charente Libre,16,11,6,2,1,5,3,4
Europe 1,1,2,4,3,6,9,12,16
L'Echo du Centre,3,2,1,16,4,15,12,6
L'Eveil,3,11,7,1,2,4,6,8
L'Yonne Républicaine,3,2,13,16,10,4,1,6
L'indépendant,16,12,2,3,1,4,6,10
