Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,5,10,4,14,11,7,13,12
La Montagne,14,7,5,12,8,4,11,13
La Provence,5,11,12,4,7,13,3,8
Aisne Nouvelle,7,13,5,10,14,8,4,9
La République du Centre,4,7,8,10,14,12,11,9
La Voix du Nord,4,14,8,7,3,5,10,11
Le Courrier Picard,14,11,4,7,10,5,8,3
Le Dauphiné Libéré,11,7,10,3,5,4,8,14
Le Matin de Lausanne,8,11,7,5,4,14,1,2
Le Parisien,7,14,8,13,3,5,12,4
Le Progrès de Lyon,5,14,8,13,4,3,7,9
Bilto,8,14,4,13,10,9,11,5
Le Quotidien de la Réunion,8,4,14,3,10,7,13,11
Le Télégramme de Brest,8,4,7,11,9,14,5,12
Les 7 de week-end,14,5,12,11,7,8,13,4
Midi-Libre,5,4,7,8,11,9,3,14
Nice Matin,14,11,8,13,12,4,5,7
Nve. Rep. Centre-Ouest,14,5,8,4,10,7,2,13
Ouest-France,14,3,4,8,5,11,9,7
Paris Normandie,5,8,13,10,9,3,14,4
Paris Turf,7,8,14,3,11,13,4,5
Centre Presse Poitiers,14,11,4,3,8,10,7,13
République des Pyrénées,5,4,3,10,9,7,14,11
Week-End,14,7,11,3,10,4,5,8
Charente Libre,4,14,8,7,3,5,10,11
Europe 1,5,4,8,7,10,14,11,3
L'Echo du Centre,14,8,7,3,11,9,5,13
L'Eveil,3,10,12,7,14,5,4,8
L'Yonne Républicaine,14,4,7,8,3,9,5,11
L'indépendant,8,5,7,14,3,11,10,4
