Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,15,7,4,8,1,2,5,11
La Montagne,8,2,14,5,1,7,15,4
La Provence,1,8,5,4,2,7,15,6
Aisne Nouvelle,2,8,1,15,7,5,4,14
La République du Centre,1,8,2,15,7,14,5,4
La Voix du Nord,8,2,1,15,7,5,14,4
Le Courrier Picard,1,7,14,15,8,2,5,12
Le Dauphiné Libéré,1,8,5,15,4,2,14,7
Le Matin de Lausanne,15,1,7,8,14,2,16,4
Le Parisien,2,8,1,5,14,11,9,12
Le Progrès de Lyon,8,2,1,15,7,5,14,4
Bilto,8,1,15,7,2,5,4,14
Le Quotidien de la Réunion,2,8,7,1,15,5,14,4
Le Télégramme de Brest,2,14,1,5,7,8,15,6
Les 7 de week-end,8,1,14,7,15,2,5,4
Midi-Libre,8,1,15,7,14,4,2,5
Nice Matin,1,7,2,15,4,8,5,9
Nve. Rep. Centre-Ouest,8,2,1,15,7,14,5,4
Ouest-France,15,8,2,14,7,4,1,5
Paris Normandie,2,5,1,15,4,8,14,7
Paris Turf,1,5,2,4,8,7,6,15
Centre Presse Poitiers,1,15,8,2,7,4,5,14
République des Pyrénées,2,8,14,1,5,15,7,4
Week-End,8,15,5,2,7,1,14,4
Charente Libre,8,2,1,15,7,5,14,4
Europe 1,1,7,2,14,15,8,5,4
L'Echo du Centre,1,8,4,2,5,15,7,14
L'Eveil,1,15,7,5,8,14,2,6
L'Yonne Républicaine,8,15,2,7,14,1,4,5
L'indépendant,2,7,5,1,15,8,14,4
