Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,10,12,16,9,13,3,6,8
La Montagne,10,13,16,9,12,1,8,6
La Provence,12,10,6,13,5,2,16,3
Aisne Nouvelle,12,10,13,1,9,8,3,6
La République du Centre,1,12,10,5,13,9,16,8
La Voix du Nord,10,12,8,13,9,1,16,3
Le Courrier Picard,13,12,10,9,8,6,1,3
Le Dauphiné Libéré,10,12,8,13,9,3,1,5
Le Matin de Lausanne,10,1,6,12,13,2,3,9
Le Parisien,10,12,8,13,9,1,16,3
Le Progrès de Lyon,10,13,1,16,12,9,6,7
Bilto,10,8,1,16,13,6,9,15
Le Quotidien de la Réunion,10,13,9,8,3,12,16,5
Le Télégramme de Brest,1,13,8,9,10,12,6,16
Les 7 de week-end,10,13,12,16,6,9,5,14
Midi-Libre,10,13,1,12,3,5,7,8
Nice Matin,1,10,8,16,12,13,9,6
Nve. Rep. Centre-Ouest,10,12,13,16,9,8,6,1
Ouest-France,8,10,12,13,1,16,9,6
Paris Normandie,10,12,13,16,5,6,8,15
Paris Turf,2,1,6,8,12,5,7,10
Centre Presse Poitiers,16,5,10,14,7,13,9,15
République des Pyrénées,12,13,3,10,9,8,1,5
Week-End,10,13,5,16,6,12,1,7
Charente Libre,10,12,8,13,9,1,16,3
Europe 1,10,16,12,13,6,5,8,1
L'Echo du Centre,12,8,10,1,13,14,9,16
L'Eveil,10,9,13,5,1,16,6,14
L'Yonne Républicaine,16,9,12,10,1,14,13,5
L'indépendant,10,13,1,8,5,16,6,12
