Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,2,7,6,3,4,10,14,15
La Montagne,6,10,3,7,2,4,15,14
La Provence,7,4,6,2,13,5,3,14
Aisne Nouvelle,3,2,4,5,10,14,6,7
La République du Centre,2,3,6,7,4,13,10,14
La Voix du Nord,2,3,6,4,7,5,10,13
Le Courrier Picard,4,2,3,5,6,7,10,15
Le Dauphiné Libéré,2,4,3,13,7,6,8,5
Le Matin de Lausanne,3,10,6,2,4,5,14,13
Le Parisien,2,6,3,14,13,10,4,7
Le Progrès de Lyon,6,3,4,10,7,2,15,5
Bilto,3,4,2,10,5,6,7,13
Le Quotidien de la Réunion,4,3,6,2,5,10,14,7
Le Télégramme de Brest,2,4,3,7,10,6,5,13
Les 7 de week-end,4,2,5,10,6,3,13,15
Midi-Libre,3,2,5,10,7,4,6,15
Nice Matin,3,6,2,10,14,4,7,5
Nve. Rep. Centre-Ouest,2,7,4,5,6,14,3,8
Ouest-France,2,7,5,6,3,14,10,15
Paris Normandie,6,2,7,3,5,4,10,13
Paris Turf,4,3,5,6,2,14,7,15
Centre Presse Poitiers,5,10,2,4,6,3,7,13
République des Pyrénées,2,5,4,7,3,6,9,14
Week-End,3,7,6,5,2,4,15,14
Charente Libre,2,3,6,4,7,5,10,13
Europe 1,2,3,4,10,6,9,7,5
L'Echo du Centre,2,4,5,6,10,3,7,15
L'Eveil,5,4,10,7,13,2,14,3
L'Yonne Républicaine,4,2,7,3,14,6,5,15
L'indépendant,3,4,7,6,2,5,10,15
