Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,1,13,8,5,3,2,7,16
La Montagne,13,5,1,8,3,7,10,16
La Provence,13,8,16,14,3,1,5,2
Aisne Nouvelle,8,13,1,16,2,5,7,3
La République du Centre,13,8,2,1,5,3,10,16
La Voix du Nord,13,1,16,5,8,2,7,12
Le Courrier Picard,13,16,2,1,5,8,14,7
Le Dauphiné Libéré,16,7,13,1,5,8,2,9
Le Matin de Lausanne,1,7,5,14,16,13,8,10
Le Parisien,13,1,16,5,8,2,7,12
Le Progrès de Lyon,1,8,16,5,7,14,13,3
Bilto,13,1,5,2,16,8,7,3
Le Quotidien de la Réunion,1,13,8,3,7,16,5,10
Le Télégramme de Brest,1,5,16,13,8,2,7,14
Les 7 de week-end,1,7,14,13,5,16,2,8
Midi-Libre,1,7,14,13,16,5,10,3
Nice Matin,5,13,2,1,7,3,16,10
Nve. Rep. Centre-Ouest,13,1,8,5,16,2,7,3
Ouest-France,5,13,16,3,1,14,8,7
Paris Normandie,16,5,13,1,3,2,14,8
Paris Turf,1,2,5,16,9,10,14,7
Centre Presse Poitiers,1,13,8,5,3,14,7,10
République des Pyrénées,1,5,7,2,16,13,3,8
Week-End,8,1,13,5,3,14,2,16
Charente Libre,13,1,16,5,8,2,7,12
Europe 1,5,16,1,13,2,14,8,7
L'Echo du Centre,5,16,14,2,3,1,7,13
L'Eveil,5,1,8,16,2,3,13,12
L'Yonne Républicaine,13,1,5,16,2,8,10,7
L'indépendant,5,1,16,13,7,2,14,8
