Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,2,1,10,11,14,4,9,6
La Montagne,3,2,4,9,6,11,1,14
La Provence,2,14,4,9,6,10,1,11
Aisne Nouvelle,3,2,4,5,6,9,7,10
La République du Centre,6,1,14,4,9,2,3,10
La Voix du Nord,2,5,4,3,9,14,6,10
Le Courrier Picard,9,4,3,11,1,6,5,10
Le Dauphiné Libéré,9,2,6,14,3,4,8,7
Le Matin de Lausanne,9,2,3,14,6,4,11,7
Le Parisien,2,5,4,3,9,14,6,10
Le Progrès de Lyon,4,3,9,14,2,1,6,8
Bilto,9,6,4,3,14,2,12,5
Le Quotidien de la Réunion,4,9,1,2,14,6,3,8
Le Télégramme de Brest,14,6,4,2,9,3,12,1
Les 7 de week-end,5,7,11,2,3,4,9,6
Midi-Libre,1,6,5,10,9,4,3,11
Nice Matin,4,9,2,6,3,7,11,14
Nve. Rep. Centre-Ouest,2,4,9,6,3,10,5,14
Ouest-France,2,14,6,1,4,3,9,5
Paris Normandie,4,9,6,10,1,11,2,14
Paris Turf,4,1,6,7,9,12,14,10
Centre Presse Poitiers,6,9,2,4,1,10,7,14
République des Pyrénées,4,9,6,5,7,11,2,3
Week-End,6,9,2,4,1,3,11,8
Charente Libre,4,2,6,3,7,9,8,1
Europe 1,6,3,4,11,14,9,2,1
L'Echo du Centre,1,11,2,14,4,9,6,10
L'Eveil,2,4,3,6,9,8,1,14
L'Yonne Républicaine,2,1,11,14,4,9,6,10
L'indépendant,9,14,6,10,2,5,4,3
