Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,15,11,2,9,8,7,13,4
La Montagne,2,11,15,7,10,9,14,4
La Provence,2,11,10,14,15,8,9,6
Aisne Nouvelle,2,9,15,10,11,13,6,14
La République du Centre,11,9,6,2,13,10,7,14
La Voix du Nord,2,9,11,13,14,10,12,7
Le Courrier Picard,11,9,2,7,13,10,15,14
Le Dauphiné Libéré,11,2,15,9,12,6,5,13
Le Matin de Lausanne,9,2,10,11,15,14,13,6
Le Parisien,2,11,15,10,6,7,9,5
Le Progrès de Lyon,2,11,15,9,6,7,14,13
Bilto,2,15,9,14,11,10,12,6
Le Quotidien de la Réunion,13,2,9,15,11,10,7,14
Le Télégramme de Brest,11,2,9,15,13,14,8,6
Les 7 de week-end,15,13,6,11,14,2,7,12
Midi-Libre,11,2,9,13,15,4,7,10
Nice Matin,15,11,12,2,14,6,9,4
Nve. Rep. Centre-Ouest,2,11,15,9,13,10,8,12
Ouest-France,2,11,9,15,7,6,14,10
Paris Normandie,11,9,15,2,10,12,13,6
Paris Turf,2,9,11,10,15,7,6,4
Centre Presse Poitiers,11,2,15,9,10,6,8,7
République des Pyrénées,2,9,14,15,11,12,6,13
Week-End,2,11,6,10,13,9,15,14
Charente Libre,2,9,11,13,14,10,12,7
Europe 1,11,2,9,12,14,10,15,8
L'Echo du Centre,15,2,9,11,10,7,4,6
L'Eveil,2,11,14,13,15,9,10,12
L'Yonne Républicaine,2,15,13,12,11,6,9,5
L'indépendant,9,11,10,15,12,2,6,13
