Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,5,8,1,2,4,12,7,16
La Montagne,4,1,2,16,7,8,5,11
La Provence,4,16,5,8,2,7,1,3
Aisne Nouvelle,1,4,2,12,8,5,16,7
La République du Centre,4,2,8,1,5,7,16,12
La Voix du Nord,4,2,8,12,5,1,7,16
Le Courrier Picard,5,2,7,12,4,1,8,16
Le Dauphiné Libéré,8,4,5,2,12,7,1,16
Le Matin de Lausanne,8,5,2,4,16,1,7,12
Le Parisien,4,2,8,12,5,1,7,16
Le Progrès de Lyon,5,1,12,8,2,4,7,16
Bilto,4,16,5,8,1,2,12,7
Le Quotidien de la Réunion,5,4,16,1,2,8,7,12
Le Télégramme de Brest,4,2,5,7,8,16,1,12
Les 7 de week-end,4,8,2,7,1,12,5,16
Midi-Libre,2,4,5,1,16,8,7,12
Nice Matin,8,2,5,1,12,4,16,7
Nve. Rep. Centre-Ouest,4,2,8,5,12,7,16,1
Ouest-France,4,2,8,1,16,12,5,7
Paris Normandie,5,16,8,4,2,7,12,1
Paris Turf,1,2,5,8,11,6,4,16
Centre Presse Poitiers,8,4,2,5,3,7,16,6
République des Pyrénées,2,1,5,7,4,12,8,16
Week-End,4,7,1,16,2,8,5,12
Charente Libre,4,2,8,12,5,1,7,16
Europe 1,4,8,2,1,5,16,3,12
L'Echo du Centre,2,8,4,7,5,1,16,12
L'Eveil,5,4,7,2,8,1,12,16
L'Yonne Républicaine,1,2,4,7,8,5,16,3
L'indépendant,2,4,8,7,16,5,1,12
