Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,1,16,3,7,2,5,12,10
La Montagne,5,1,3,9,16,2,12,7
La Provence,12,16,5,3,7,1,9,10
Aisne Nouvelle,12,5,16,3,9,7,2,1
La République du Centre,10,7,9,12,1,16,5,3
La Voix du Nord,5,16,12,7,9,3,10,1
Le Courrier Picard,5,16,1,7,12,10,2,3
Le Dauphiné Libéré,12,7,1,16,5,9,3,10
Le Matin de Lausanne,16,12,9,7,5,2,1,3
Le Parisien,5,16,12,7,9,3,10,1
Le Progrès de Lyon,10,3,12,5,16,1,7,2
Bilto,16,7,1,9,5,3,2,12
Le Quotidien de la Réunion,7,12,16,3,1,5,9,10
Le Télégramme de Brest,1,16,5,10,7,12,9,3
Les 7 de week-end,5,3,12,16,7,10,1,9
Midi-Libre,12,16,1,3,5,7,9,4
Nice Matin,12,5,1,7,9,16,3,10
Nve. Rep. Centre-Ouest,5,16,12,7,3,10,1,9
Ouest-France,16,5,9,12,3,7,10,1
Paris Normandie,1,7,5,12,16,3,9,2
Paris Turf,16,5,10,9,3,7,12,1
Centre Presse Poitiers,16,5,12,7,1,10,2,4
République des Pyrénées,7,5,9,10,3,1,2,16
Week-End,5,16,9,1,7,3,12,10
Charente Libre,5,16,12,7,9,3,10,1
Europe 1,16,7,12,1,9,10,3,5
L'Echo du Centre,16,5,12,1,3,10,7,9
L'Eveil,7,16,10,3,9,5,12,1
L'Yonne Républicaine,5,7,16,9,10,12,3,1
L'indépendant,12,1,9,16,7,5,10,4
